stage,vus,operation,total_requests,successful,failed,error_rate_pct,avg_ms,p95_ms,max_ms,throughput_rps
5VU,5,login,5,5,0,0.0,712.7,1250.1,1250.1,0.04
5VU,5,dashboard,206,206,0,0.0,394.4,522.7,2102.7,1.65
5VU,5,severity_view,206,206,0,0.0,375.1,474.6,2371.3,1.65
5VU,5,history,206,206,0,0.0,369.1,483.6,2387.6,1.65
5VU,5,upload,206,206,0,0.0,488.7,699.5,2885.7,1.65
5VU,5,report,206,206,0,0.0,1120.3,1435.1,3151.5,1.65
5VU,5,OVERALL,1035,1035,0,0.0,550.3,1125.7,3151.5,8.28
10VU,10,login,10,10,0,0.0,1038.9,1114.7,1114.7,0.08
10VU,10,dashboard,418,418,0,0.0,386.0,466.9,2436.0,3.34
10VU,10,severity_view,418,418,0,0.0,393.1,513.9,2515.1,3.34
10VU,10,history,418,418,0,0.0,356.7,456.1,2366.7,3.34
10VU,10,upload,418,418,0,0.0,467.9,590.1,2697.7,3.34
10VU,10,report,418,418,0,0.0,1096.1,1285.7,3281.9,3.34
10VU,10,OVERALL,2100,2100,0,0.0,542.4,1107.7,3281.9,16.8
20VU,20,login,20,20,0,0.0,3515.8,3545.2,3547.7,0.16
20VU,20,dashboard,401,400,1,0.25,9196.3,496.1,1770339.9,3.21
20VU,20,severity_view,401,398,3,0.75,13682.4,517.4,1770587.9,3.21
20VU,20,history,401,396,5,1.25,9442.6,531.5,1770420.4,3.21
20VU,20,upload,401,398,3,0.75,31483.5,820.2,1770634.7,3.21
20VU,20,report,401,388,13,3.24,28318.4,1512.3,1795256.6,3.21
20VU,20,OVERALL,2025,2000,25,1.23,18277.4,1221.6,1795256.6,16.2
30VU,30,login,30,30,0,0.0,1906.3,1907.3,3839.3,0.24
30VU,30,dashboard,1167,1167,0,0.0,452.4,1287.0,15315.1,9.34
30VU,30,severity_view,1167,1167,0,0.0,388.7,1264.2,7405.9,9.34
30VU,30,history,1167,1167,0,0.0,380.2,1260.5,7378.0,9.34
30VU,30,upload,1167,1167,0,0.0,501.5,1374.1,9465.6,9.34
30VU,30,report,1167,1166,1,0.09,1188.4,2813.2,22635.4,9.34
30VU,30,OVERALL,5865,5864,1,0.02,589.0,1407.9,22635.4,46.92
